"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
163,"ESW1-58e",32.4,23.9,6.07,0.22,1.23,0.28,0.36,1.01,9625,2016-03-09 02:14:00,2016-03-10 03:52:00,2016-03-09 02:14:00,2016-03-10 03:52:00,0.44,9625,0
165,"ESW1-59a",11.8,21,2.5,0.07,0.69,0.13,0.17,0.62,5262,2016-03-13 17:30:00,2016-03-15 16:09:00,2016-03-13 17:30:00,2016-03-15 16:09:00,0.1,5262,0
166,"ESW1-59b",22079.2,59.4,10.61,0.25,60.72,0.81,23.35,60.46,34007,2016-03-15 16:09:00,2016-03-17 18:30:00,2016-03-15 16:09:00,2016-03-17 18:30:00,2.22,34007,0
167,"ESW1-60a",76.4,16.6,1.71,0.04,0.67,0.14,0.31,0.63,8052,2016-03-26 11:15:00,2016-03-27 06:19:00,2016-03-26 11:15:00,2016-03-27 06:19:00,0.3,8052,0
168,"ESW1-60b",325.1,26.3,4.2,0.11,2.11,0.25,0.84,1.99,12226,2016-03-27 06:19:00,2016-03-28 21:15:00,2016-03-27 06:19:00,2016-03-28 21:15:00,0.49,12226,0
169,"ESW1-61a",2388.1,21.1,3.88,0.04,6.68,0.31,2.81,6.64,13236,2016-03-31 00:12:00,2016-03-31 12:36:00,2016-03-31 00:12:00,2016-03-31 12:36:00,1.06,13236,0
170,"ESW1-61b",643.3,16.3,3.14,0.04,1.87,0.24,0.98,1.83,10187,2016-03-31 12:36:00,2016-04-01 06:00:00,2016-03-31 12:36:00,2016-04-01 19:15:00,0.76,10187,0
177,"ESW1-62",1721.8,2.7,1.5,0.07,5.24,0.01,1.88,5.17,4294,2016-06-15 18:44:00,2016-06-16 04:00:00,2016-06-15 18:44:00,2016-06-16 05:30:00,2.21,4294,0
178,"ESW1-63",167,0.2,0.01,0.02,0.56,0.06,0.24,0.54,1469,2016-06-26 03:38:00,2016-06-26 06:13:00,2016-06-26 03:38:00,2016-06-26 10:45:00,0.69,1469,0
181,"ESW1-64",0.4,0.2,0.01,0,0.02,0.01,0.01,0.02,164,2016-07-29 02:20:00,2016-07-29 03:30:00,2016-07-29 02:20:00,2016-07-29 03:30:00,0.08,164,0
185,"ESW1-66",11,4.3,0,0.03,0.34,0.14,0.18,0.3,1572,2016-09-10 04:52:00,2016-09-10 17:45:00,2016-09-10 04:52:00,2016-09-10 17:45:00,0.16,1572,0
