"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
138,"ESW2-49d",141,39.2,6.49,1.16,4.06,0.88,1.28,10.55,2.9,12450,2015-12-16 05:44:00,2015-12-16 05:44:00,2015-12-16 05:44:00,2015-12-17 13:45:00,0.48,12450,0
139,"ESW2-50",539,94.6,15.06,4.34,10.3,2.06,3.17,25.36,5.96,22766,2015-12-23 05:45:00,2015-12-23 05:45:00,2015-12-23 05:45:00,2015-12-25 08:30:00,0.93,22766,0
140,"ESW2-51a",18,5.2,0.86,0.31,1.24,0.16,0.29,2.1,0.93,7223,2016-02-19 16:30:00,2016-02-19 16:30:00,2016-02-19 16:30:00,2016-02-20 09:19:00,0.17,7223,1
141,"ESW2-51b",316.1,24.9,4.31,3.21,9.44,3.1,4.79,13.75,6.23,76723,2016-02-20 09:19:00,2016-02-20 09:19:00,2016-02-20 09:19:00,2016-02-21 10:52:00,3.72,76723,1
142,"ESW2-51c",10.2,5.8,1.02,0.49,1.32,0.58,0.72,2.35,0.83,9634,2016-02-21 10:52:00,2016-02-21 10:52:00,2016-02-21 10:52:00,2016-02-22 09:00:00,0.32,9634,1
146,"ESW2-52b",109.6,13.4,2.17,0.88,2.68,0.68,0.96,4.85,1.8,13928,2016-02-28 08:15:00,2016-02-28 08:15:00,2016-02-28 08:15:00,2016-02-29 03:30:00,0.69,13928,1
147,"ESW2-53a",29.9,4.1,0.63,0.28,0.91,0.23,0.31,1.54,0.64,4562,2016-03-06 14:30:00,2016-03-06 14:30:00,2016-03-06 14:45:00,2016-03-06 20:47:00,0.35,4562,1
148,"ESW2-53b",49.4,6.5,1.22,0.62,1.81,0.64,0.73,3.03,1.19,7828,2016-03-06 20:47:00,2016-03-06 20:47:00,2016-03-06 20:47:00,2016-03-07 05:42:00,0.42,7828,1
149,"ESW2-53c",581.6,30.4,6.34,1.74,7.07,1.21,2.22,13.41,5.32,25384,2016-03-07 05:42:00,2016-03-07 05:42:00,2016-03-07 05:42:00,2016-03-08 05:46:00,0.95,25384,0
150,"ESW2-53d",150.1,38.3,7.31,1.81,5.56,0.96,1.27,12.87,3.74,15612,2016-03-08 05:46:00,2016-03-08 05:46:00,2016-03-08 05:46:00,2016-03-09 02:22:00,0.28,15612,0
151,"ESW2-53e",620.2,79.6,14.45,5.02,12.84,2.2,3.45,27.29,7.82,24356,2016-03-09 02:22:00,2016-03-09 02:22:00,2016-03-09 02:22:00,2016-03-11 01:30:00,1.29,24356,0
153,"ESW2-54",124.4,74.2,4.74,3.81,9.56,1.68,2.17,14.3,5.75,15820,2016-03-13 17:30:00,2016-03-13 17:30:00,2016-03-13 17:30:00,2016-03-15 12:30:00,0.53,15820,0
